,Name,Exp,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
146,Carmelo Anthony,5,2007-08,23.0,DEN,NBA,SF,77.0,77.0,36.4,9.5,19.2,0.492,0.8,2.1,0.354,8.7,17.1,0.509,0.511,6.0,7.7,0.786,2.3,5.1,7.4,3.4,1.3,0.5,3.3,3.3,25.7
147,Carmelo Anthony,6,2008-09,24.0,DEN,NBA,SF,66.0,66.0,34.5,8.1,18.3,0.443,1.0,2.6,0.371,7.2,15.7,0.455,0.469,5.6,7.1,0.793,1.6,5.2,6.8,3.4,1.1,0.4,3.0,3.0,22.8
148,Carmelo Anthony,7,2009-10,25.0,DEN,NBA,SF,69.0,69.0,38.2,10.0,21.8,0.458,0.9,2.7,0.316,9.1,19.1,0.478,0.478,7.4,8.9,0.83,2.2,4.4,6.6,3.2,1.3,0.4,3.0,3.3,28.2
149,Carmelo Anthony,8,2010-11,26.0,TOT,NBA,SF,77.0,77.0,35.7,8.9,19.5,0.455,1.2,3.3,0.378,7.6,16.3,0.47,0.487,6.6,7.9,0.838,1.5,5.8,7.3,2.9,0.9,0.6,2.7,2.9,25.6
150,Carmelo Anthony,9,2010-11,26.0,DEN,NBA,SF,50.0,50.0,35.5,8.7,19.3,0.452,0.8,2.5,0.333,7.9,16.8,0.47,0.474,6.9,8.3,0.823,1.5,6.1,7.6,2.8,0.9,0.6,2.8,2.7,25.2
151,Carmelo Anthony,10,2010-11,26.0,NYK,NBA,SF,27.0,27.0,36.2,9.1,19.9,0.461,2.0,4.6,0.424,7.2,15.2,0.472,0.51,6.1,7.0,0.872,1.5,5.2,6.7,3.0,0.9,0.6,2.4,3.3,26.3
152,Carmelo Anthony,11,2011-12,27.0,NYK,NBA,SF,55.0,55.0,34.1,8.0,18.6,0.43,1.2,3.7,0.335,6.8,14.9,0.454,0.463,5.4,6.7,0.804,1.6,4.7,6.3,3.6,1.1,0.4,2.6,2.8,22.6
153,Carmelo Anthony,12,2012-13,28.0,NYK,NBA,PF,67.0,67.0,37.0,10.0,22.2,0.449,2.3,6.2,0.379,7.6,16.0,0.476,0.502,6.3,7.6,0.83,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7
154,Carmelo Anthony,13,2013-14,29.0,NYK,NBA,PF,77.0,77.0,38.7,9.6,21.3,0.452,2.2,5.4,0.402,7.5,15.9,0.469,0.503,6.0,7.0,0.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4
155,Carmelo Anthony,14,2014-15,30.0,NYK,NBA,SF,40.0,40.0,35.7,9.0,20.2,0.444,1.5,4.5,0.341,7.4,15.7,0.474,0.482,4.7,5.9,0.797,1.8,4.8,6.6,3.1,1.0,0.4,2.2,2.2,24.2
156,Carmelo Anthony,15,2015-16,31.0,NYK,NBA,SF,72.0,72.0,35.1,7.9,18.2,0.434,1.5,4.3,0.339,6.4,13.8,0.463,0.474,4.6,5.6,0.829,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8
157,Carmelo Anthony,16,2016-17,32.0,NYK,NBA,SF,74.0,74.0,34.3,8.1,18.8,0.433,2.0,5.7,0.359,6.1,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4
158,Carmelo Anthony,17,2017-18,33.0,OKC,NBA,PF,78.0,78.0,32.1,6.1,15.0,0.404,2.2,6.1,0.357,3.9,8.9,0.437,0.476,1.9,2.5,0.767,0.9,4.9,5.8,1.3,0.6,0.6,1.3,2.5,16.2
159,Carmelo Anthony,18,2018-19,34.0,HOU,NBA,PF,10.0,2.0,29.4,4.9,12.1,0.405,2.1,6.4,0.328,2.8,5.7,0.491,0.492,1.5,2.2,0.682,0.9,4.5,5.4,0.5,0.4,0.7,0.8,3.2,13.4
160,Carmelo Anthony,19,2019-20,35.0,POR,NBA,PF,58.0,58.0,32.8,5.8,13.5,0.43,1.5,3.9,0.385,4.3,9.6,0.448,0.485,2.3,2.8,0.845,1.2,5.1,6.3,1.5,0.8,0.5,1.7,2.9,15.4
161,Carmelo Anthony,20,2020-21,36.0,POR,NBA,PF,69.0,3.0,24.5,4.7,11.3,0.421,1.9,4.7,0.409,2.8,6.6,0.429,0.506,2.0,2.2,0.89,0.5,2.6,3.1,1.5,0.7,0.6,0.9,2.1,13.4
162,Carmelo Anthony,21,2021-22,37.0,LAL,NBA,PF,69.0,3.0,26.0,4.6,10.5,0.441,2.2,5.8,0.375,2.5,4.7,0.521,0.544,1.9,2.3,0.83,0.9,3.3,4.2,1.0,0.7,0.8,0.9,2.4,13.3
